ID,Number,Order,Title,Type,Description,Collection ID,Book ID,Min Cards Required,Min Accuracy Required,Has Content,Content Keys,Content Structure,Content Version,Created At,Updated At
49,1,,Привет! Hello!,vocabulary,Базовые приветствия и слова для знакомства,,,,,Yes,"vocabulary, exercises","{""vocabulary"": ""list[10]"", ""exercises"": ""list[3]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
50,2,,Карточки: Слова и фразы,flashcards,Повторение vocabulary и базовых фраз,,,,,Yes,cards,"{""cards"": ""list[10]""}",1,2025-11-03 15:02:21,2025-11-03 15:05:50
51,3,,Глагол BE (am/is/are),grammar,Глагол be во всех формах,,,,,Yes,grammar_explanation,"{""grammar_explanation"": ""dict[5]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
52,4,,Практика: Приветствия и глагол BE,quiz,Закрепление vocabulary и глагола be,,,,,Yes,exercises,"{""exercises"": ""list[12]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
53,5,,Аудирование: Слушаем и понимаем,listening_quiz,Восприятие на слух приветствий и фраз с BE,,,,,Yes,exercises,"{""exercises"": ""list[6]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
54,6,,Чтение: Новые друзья,reading,Чтение диалога с глаголом BE,,,,,Yes,"text, exercises","{""text"": ""dict[2]"", ""exercises"": ""list[6]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
55,7,,Дополни диалог,dialogue_completion_quiz,Практика диалогов с глаголом BE,,,,,Yes,exercises,"{""exercises"": ""list[10]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
56,8,,Порядок слов в предложении,ordering_quiz,Правильный порядок слов с глаголом BE,,,,,Yes,exercises,"{""exercises"": ""list[12]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
57,9,,Карточки: Новые слова,flashcards,Расширение словарного запаса,,,,,Yes,cards,"{""cards"": ""list[10]""}",1,2025-11-03 15:02:21,2025-11-05 12:07:24
58,10,,Переводим на английский,translation_quiz,Перевод предложений с глаголом BE,,,,,Yes,exercises,"{""exercises"": ""list[12]""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
59,11,,Слушаем диалог,listening_immersion,Погружение в язык через прослушивание,,,,,Yes,"title, audio, text, translation, instruction","{""title"": ""str"", ""audio"": ""str"", ""text"": ""str"", ""translation"": ""str"", ""instruction"": ""str""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
60,12,,Итоговый тест модуля,final_test,Все формы глагола be и базовая лексика,,,,,Yes,"test_sections, passing_score, total_points","{""test_sections"": ""list[5]"", ""passing_score"": ""int"", ""total_points"": ""int""}",1,2025-11-03 15:02:21,2025-11-03 15:02:21
